response_id,session_id,learning_objective_id,learning_objective
aagkqqy,eofosud,knhfxth,Multiplying using long multiplication.
aagsofv,evbxrvs,dzbfsdd,Finding square numbers.
aahcqnx,bktbqay,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
aahdxdb,lpficjk,iaxxfeb,Using mental strategies to multiply.
aahffag,ahsuqhs,iaxxfeb,Using mental strategies to multiply.
aahthmo,axacfat,folqlut,Comparing numbers with up to 2 decimal places using money.
aaiirat,lgwiwhk,emnvuqq,Writing money using £ and p.
aaijeok,hwkrljp,mqoudkb,Finding factors.
aaiqfgr,mjhbaeu,jcqtfrb,Solving problems involving addition and subtraction. 
aaiqmhg,hcacwxg,ahgjnev,Finding percentages of an amount.
aajleka,fvgmjxb,lddighw,"Comparing numbers up to 10,000."
aajmguz,klwiozp,lcidfkx,Rounding numbers to the nearest 10.
aajmroe,arlylby,dwfrhvb,Adding or subtracting tenths or hundredths.
aajtpxm,idczcdp,ixlglnr,"Rounding numbers to the nearest 100 and 1,000."
aakauug,ibizczd,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aakcqra,gsbyapv,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aakdipi,bstskkc,mzfyjyr,Simplifying fractions.
aakvypm,bkyjglu,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aaleshm,avocsvf,acvbcev,Comparing fractions using reasoning.
aalfsnh,jlvcysj,esfbggf,Expanding and Factorising Single Brackets
aalhliv,jcpxnvn,bvaxfzg,Adding and subtracting fractions with different denominators.
aamlpas,izmljzh,couwqal,"Ordering numbers up to 10,000."
aamrjjb,eupclok,mcnzvid,Developing Fluency with Addition and Subtraction
aamrlwo,giwgprd,mqoudkb,Finding factors.
aandbbh,hinipkh,lortfat,Rounding numbers to the nearest tenth.
aangvmc,ljgdkei,begwnzt,Solving problems involving fractions.
aanlqdn,knowxwm,guhomsj,Adding and subtracting fractions including mixed numbers.
aannhbf,bxojlom,aqrhryr,Rounding decimals to the nearest whole number.
aanoztz,ipoexiy,folqlut,Comparing numbers with up to 2 decimal places using money.
aanrsvp,hnxrlpl,nixdzua,Adding and subtracting fractions with the same denominator.
aaobxyz,ipycpks,mzfyjyr,Simplifying fractions.
aaogjzv,hhrhurl,ittdkew,Finding equivalent fractions.
aaohxte,fivqqbq,lilhlgx,Adding using the column method with regrouping. 
aaokqno,biwhrlg,lcidfkx,Rounding numbers to the nearest 10.
aaopfpo,ikjdelq,knhfxth,Multiplying using long multiplication.
aaplrvo,iwjokfl,cjlaygb,Estimating the position of tenths and hundredths on a number line.
aapyxey,gszksnr,bmtcjox,Converting between units of measure.
aaqdqiy,hyharya,nbnqdnl,Multiplying and dividing decimals using known facts.
aaqefgy,chbrvhu,meqpwaq,Solving real-life problems with remainders.
aaqehuc,ffeeayq,cpgyqua,Writing tenths as decimals.
aaqgdaq,ihraxhk,heqwrmw,Using doubling and halving to find multiplication facts.
aaqrdpb,mvjywer,bllttmr,Writing percentages as fractions and decimals.
aaqtcwj,ncnmtsa,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
aassend,iafzshd,hacchhf,Expanding Triple Brackets
aatazxp,kdyrwfr,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aathldy,fckzpae,mtqvgdo,"Ordering numbers up to 10,000,000"
aatkxyy,cvjymth,hdlyxit,Using fractions to solve problems.
aatylnl,afhvmdo,klriafb,Dividing using short division.
aaufceq,duabxeu,ighwkhu,Multiplying and dividing by 10 and 100.
aauhgdy,echycwu,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aauhrbt,kuvlvol,cjlaygb,Estimating the position of tenths and hundredths on a number line.
aauuyur,hduudkj,cjrlypt,"Estimating the position of a number up to 10,000,000 on a number line"
aavclrl,blavrvg,kzinopx,Telling the time (half past and quarter past/to). 
aavhnhf,juxaaqv,mqoudkb,Finding factors.
aavnpwv,hoamwfr,jzbokzb,Using mental strategies to divide.
aavrbzh,mmasjnk,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
aavvkra,injyagd,fjbqcsv,Comparing and ordering fractions by finding a common denominator.
aavvvki,esyyxau,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aavwymb,abdiobb,jczttsr,Writing simple fractions as decimals.
aawdlnn,fvzklur,bmtcjox,Converting between units of measure.
aawgvtx,asbgblj,hjfghwb,"Knowing the value of each digit in numbers up to 1,000,000."
aawlofv,iufxfkp,jfvgeod,Multiplying up to 3-digits using short multiplication.
aawnywe,jjfiles,mflvjfv,Using known facts to find factors.
aawpjyr,fkaucfu,kccejva,Multiplying using short multiplication.
aawrgxa,kyukbvs,folqlut,Comparing numbers with up to 2 decimal places using money.
aawvfml,gewvgdu,jczttsr,Writing simple fractions as decimals.
aawyvta,fktxwar,ahgjnev,Finding percentages of an amount.
aaxdfhw,dazjabh,mntjdry,Finding equivalent fractions using a number line.
aaybcdo,ainpxsq,bllttmr,Writing percentages as fractions and decimals.
aayfunc,gsypsqb,bgeynjl,Adding and subtracting fractions within 1.
aaytvjo,guxntmh,klriafb,Dividing using short division.
aazklrt,ivhlujv,dzbfsdd,Finding square numbers.
aazkuqa,jaehkrr,heqwrmw,Using doubling and halving to find multiplication facts.
aazshav,cqewccj,acvbcev,Comparing fractions using reasoning.
abaplha,dzivpcf,feiwqxq,Multiplying 2-digit numbers.
abbcrpe,hyjgcny,jhhktze,Grouping and counting in 10s. 
abbnifs,bifgkoj,kgxqvtl,"Using 2x, 5x and 10x table. "
abchtlx,ftvuouh,mqoudkb,Finding factors.
abcszcl,hawtrig,mzfyjyr,Simplifying fractions.
abejotp,baothsp,fvlruzc,"Showing and partitioning numbers up to 10,000. "
abeqkmg,dvmolqx,eypteqi,Calculating with Fractions in Context. 
abfpkuw,egmalcf,mlfcler,Adding and subtracting decimals using known facts.
abfvnzf,datfqso,meqpwaq,Solving real-life problems with remainders.
abggxsx,eydzgew,nvoahmy,Solving multi-step addition and subtraction problems.
abgjzrj,lnaptws,jczttsr,Writing simple fractions as decimals.
abhrqpj,fdmueol,bvaxfzg,Adding and subtracting fractions with different denominators.
abijnyn,dokvddp,eecbecn,Identifying right angles in shapes. 
abiogsq,jvtzfzv,bnelckh,Understanding scaling within place value 
abitsox,ihhsnvb,acvbcev,Comparing fractions using reasoning.
abjytue,csdibhe,bllttmr,Writing percentages as fractions and decimals.
abkucfd,llttmuq,esfbggf,Expanding and Factorising Single Brackets
ablafqg,ibvslya,iswyqvs,Using multiplication and division facts up to 12 x 12.
ablcwxf,kxegkpq,dwfrhvb,Adding or subtracting tenths or hundredths.
ablndjn,jwroglj,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
abmnhca,ekbgjlh,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
abmqumm,ffkcjcw,ahgjnev,Finding percentages of an amount.
abmuzvq,kccszyh,jczttsr,Writing simple fractions as decimals.
abmyzxb,fmlxyna,eiqjtpi,Looking at patterns using a multiplication square. 
abnvxgi,hjwavso,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
abobrtv,amqtgzp,hdlyxit,Using fractions to solve problems.
abpfnrt,lxsbjqa,cayqlmh,Comparing and ordering fractions.
abpgwyr,abazeiq,krfuudx,Counting in multiples.
abptfxt,kabumgo,nixdzua,Adding and subtracting fractions with the same denominator.
abptgey,jbgblca,aqrhryr,Rounding decimals to the nearest whole number.
abqanuz,lqjyglj,acvbcev,Comparing fractions using reasoning.
abqderf,cxsrsje,luxensj,Comparing numbers with up to 2 decimal places.
abqetqx,bsqmkoz,mndvwdh,Understanding fractions greater than 1.
abqupgo,kbvzchi,jtdvfzo,Dividing using short division with exchange.
abruomv,bwcwxse,bllttmr,Writing percentages as fractions and decimals.
abrwotp,icmxkwu,ahgjnev,Finding percentages of an amount.
absgytx,hfuwseh,mflvjfv,Using known facts to find factors.
absxgoi,ngrlsma,nbnqdnl,Multiplying and dividing decimals using known facts.
absywro,nftmjns,jtdvfzo,Dividing using short division with exchange.
abtmcbl,coyguuj,besehbx,"Partitioning numbers up to 1,000,000"
abtyzbf,inrbhzf,cpgyqua,Writing tenths as decimals.
abujzxs,jaivoek,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
abuyavo,cxhsfow,guhomsj,Adding and subtracting fractions including mixed numbers.
abuybci,nmcqwqo,feiwqxq,Multiplying 2-digit numbers.
abvgjqs,kbpmjji,emnvuqq,Writing money using £ and p.
abvpyvd,bjsmeam,gfvqosz,Comparing numbers with the same number of decimal places. 
abvqmfm,mmoitgf,aqihdxz,Adding and subtracting amounts of money to give change. 
abwzfax,ljwepkz,folqlut,Comparing numbers with up to 2 decimal places using money.
abwztde,cdtrpud,aqihdxz,Adding and subtracting amounts of money to give change. 
abxyqfp,fyrzixq,mqoudkb,Finding factors.
abxzemt,ezkjvee,mntjdry,Finding equivalent fractions using a number line.
abybuzw,hqrfufg,cayqlmh,Comparing and ordering fractions.
abysdoc,dblvsmm,hqkuhmz,Working with Prime Factorisation 
abzhfka,bnkgasf,klriafb,Dividing using short division.
abzxpqt,njcdlpc,lcidfkx,Rounding numbers to the nearest 10.
acajnct,labbbok,gosyndz,Using multiplication to convert units of measure.
acaknzh,bvyxtdl,iaxxfeb,Using mental strategies to multiply.
acapgdw,ipgejjy,junnets,Knowing common measure conversions.
acbcrud,kbufavx,kgxqvtl,"Using 2x, 5x and 10x table. "
acbdagv,dhnsdbj,jloipph,Dividing using partitioning.
acbeguz,lxciqdl,begwnzt,Solving problems involving fractions.
acbkkoe,hwkrljp,bvaxfzg,Adding and subtracting fractions with different denominators.
acboqas,dgkbxca,mndvwdh,Understanding fractions greater than 1.
acbuemi,maszttc,heqwrmw,Using doubling and halving to find multiplication facts.
accakgx,loaqtfy,gsowtvc,Solving real-life problems with bar models.
accikpn,fvyqqed,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
accqdrv,mtyzkyb,cpgyqua,Writing tenths as decimals.
acctxft,dgpvezu,cpgyqua,Writing tenths as decimals.
acczdgl,jbviwvu,iaxxfeb,Using mental strategies to multiply.
acczebt,gobsatw,gosyndz,Using multiplication to convert units of measure.
aceadwp,hontvsh,bmtcjox,Converting between units of measure.
aceuxfn,kamquas,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
acfhvpq,gybpmxf,lddighw,"Comparing numbers up to 10,000."
acfjzut,bavffpq,mfcuuxh,"Using hundreds, tens and ones to make 3-digit numbers. "
acfrvmr,flutjml,mcnzvid,Developing Fluency with Addition and Subtraction
acfzqws,blispph,mflvjfv,Using known facts to find factors.
acgaypt,crsuhxm,lddighw,"Comparing numbers up to 10,000."
achlvmz,cydhmla,dwfrhvb,Adding or subtracting tenths or hundredths.
achqfqp,davadln,mntjdry,Finding equivalent fractions using a number line.
achtbeh,iljzcjm,htatwwa,Knowing that 10 tens are equal to 100. 
achtgez,jnhwpwb,khgykop,"Ordering numbers up to 1,000,000."
acidzug,dicbiey,jczttsr,Writing simple fractions as decimals.
acitzbs,bhmhvvk,npjzxlw,Finding common multiples.
aciyvei,ltmnoyi,cpgyqua,Writing tenths as decimals.
acjagrg,feuaaro,etkffze,Factorising Quadratics (coefficient equal to 1)
acjaord,nnoivvi,nbnqdnl,Multiplying and dividing decimals using known facts.
acjnrta,mxgdnng,ahpsuks,Using tens and ones to make 2-digit numbers. 
ackhlbo,mpiqwwb,mcnzvid,Developing Fluency with Addition and Subtraction
ackyguj,becofkl,bmtcjox,Converting between units of measure.
ackyzvk,btwwzdc,dufuvhz,Expanding Double Brackets
aclcyxw,dissccl,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
aclojrx,jwqlmyd,nbnqdnl,Multiplying and dividing decimals using known facts.
aclxwty,ijrllyi,ighwkhu,Multiplying and dividing by 10 and 100.
acmbqrg,hydqbuc,nbnqdnl,Multiplying and dividing decimals using known facts.
acmdups,gofqjdj,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
acnaqin,kanclrx,jtdvfzo,Dividing using short division with exchange.
acnnepq,benwxmb,iaxxfeb,Using mental strategies to multiply.
acnpeit,ibqdmkv,luxensj,Comparing numbers with up to 2 decimal places.
acoezzb,dglacbf,couwqal,"Ordering numbers up to 10,000."
acomhxw,mozlvpc,mcnzvid,Developing Fluency with Addition and Subtraction
acotlpc,expkqos,apsqsjm,Writing hundredths as decimals.
acoypbs,dlinwyx,klriafb,Dividing using short division.
acpgcbi,buytyus,mlfcler,Adding and subtracting decimals using known facts.
acpkacg,bqmaspp,jzbokzb,Using mental strategies to divide.
acpmldo,myrrogo,nbnqdnl,Multiplying and dividing decimals using known facts.
acpsazs,kilcnnp,awpcdkl,Partitioning in different ways with decimals.
acpxqqe,ibazmxg,jfmesfx,Using place value charts to multiply and divide by 10. 
acpzqtb,jmlsuck,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
acqkkkq,jydxwzn,jfmesfx,Using place value charts to multiply and divide by 10. 
acqleot,nnpfzjo,folqlut,Comparing numbers with up to 2 decimal places using money.
acquggy,knkhqlh,folqlut,Comparing numbers with up to 2 decimal places using money.
acrbyyh,jnovmhk,mndvwdh,Understanding fractions greater than 1.
acrgwjh,isaylqu,ixlglnr,"Rounding numbers to the nearest 100 and 1,000."
acrhvlh,kthkncx,miyucjs,"Finding the area, circumference and lengths of circles, arcs and sectors"
acrjhax,jwdwwta,bllttmr,Writing percentages as fractions and decimals.
acrlngj,iualqgm,bmtcjox,Converting between units of measure.
actccho,dtorang,krfuudx,Counting in multiples.
actlmdy,bwnxhzj,bwypavr,Multiplying using arrays and the area model. 
actphrk,hjgxolw,hrpfpoj,Using fact families to multiply and divide.
actqttk,dsiihrm,jdgeerr,Working with Arithmetic Sequences
actxjrp,dzgxbuk,dwfrhvb,Adding or subtracting tenths or hundredths.
acuobhj,fgxyvvq,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
acupxpe,aiossft,gosyndz,Using multiplication to convert units of measure.
acuqznt,bldlghd,fxlgbvf,"Comparing numbers up to 10,000"
acurquc,hjxxzlr,dufuvhz,Expanding Double Brackets
acutdxp,hhhswca,luxensj,Comparing numbers with up to 2 decimal places.
acuunuu,fcejvel,lortfat,Rounding numbers to the nearest tenth.
acvbxqk,bnufbzy,nixdzua,Adding and subtracting fractions with the same denominator.
acvmmow,koccjid,folqlut,Comparing numbers with up to 2 decimal places using money.
acvqwrk,ayaveaf,bfhkqzq,Finding fractions of a set of objects.
acvsujs,kzhuits,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
acwjbfa,bvsemdb,jfmesfx,Using place value charts to multiply and divide by 10. 
acwjmfb,bfliacu,aisoxgv,Using known facts to work out other multiplication facts. 
acwugrj,myuknos,jhhktze,Grouping and counting in 10s. 
acwxots,nrftoew,hgogmqh,Finding number pairs that total 10. 
acxesri,adatrgm,invpjcq,"Comparing acute, obtuse and reflex angles."
acxkttr,khtswqu,ahwahcf,Comparing to find the difference. 
acxvtdv,ahuhvbx,acvbcev,Comparing fractions using reasoning.
acykihz,cflauni,awpcdkl,Partitioning in different ways with decimals.
acysxoz,gtoahig,giqvgrx,Counting back from zero 
acytzwe,igoztig,mcnzvid,Developing Fluency with Addition and Subtraction
acywuqy,djndxpw,cayqlmh,Comparing and ordering fractions.
acyyker,krrwyhm,dzbfsdd,Finding square numbers.
adagnmv,attudxx,cayqlmh,Comparing and ordering fractions.
adaltdb,etdicuz,mkfznnl,Knowing the value of each digit in numbers with up to 3 decimal places
adamwyw,frucyzt,famwnbp,Dividing numbers by 100.
adapsvx,lnfoqoq,mntjdry,Finding equivalent fractions using a number line.
adayhjx,btdnbux,ghqfiye,Working with y=mx+c
adbbrys,lhprnvj,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
adbrrtj,aadylxv,mcnzvid,Developing Fluency with Addition and Subtraction
adchlah,cnknvhb,kbxayvd,Finding common factors of two numbers.
adclabx,hppuonp,dwfrhvb,Adding or subtracting tenths or hundredths.
adcskjb,gqqeoes,hjfghwb,"Knowing the value of each digit in numbers up to 1,000,000."
addedoj,hkymfjb,jtdvfzo,Dividing using short division with exchange.
addijqk,giiubge,dwfrhvb,Adding or subtracting tenths or hundredths.
addoqkr,frzvqkl,ipbeakp,Finding multiples.
addrtro,bfnholg,gsowtvc,Solving real-life problems with bar models.
addsehj,kizylyh,jzbokzb,Using mental strategies to divide.
addxdyu,mkxdaun,eiqjtpi,Looking at patterns using a multiplication square. 
adenjxa,jmgggdk,luxensj,Comparing numbers with up to 2 decimal places.
adenorf,adtkuil,mndvwdh,Understanding fractions greater than 1.
adeonqs,kwmtctx,klriafb,Dividing using short division.
adeqfig,nfkbmct,igxgpby,Calculating the perimeter and unknown sides.
adeyjif,dbcgpde,feiwqxq,Multiplying 2-digit numbers.
adeytmc,dvxjgpf,jfvgeod,Multiplying up to 3-digits using short multiplication.
adezksv,iseuulv,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
adfbeec,nnpbsiq,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
adfkivh,lokphhq,mcnzvid,Developing Fluency with Addition and Subtraction
adfsvvq,mtydxhy,bllttmr,Writing percentages as fractions and decimals.
adgdvpy,jquxczb,meqpwaq,Solving real-life problems with remainders.
adgejmo,ljkvqdc,awpcdkl,Partitioning in different ways with decimals.
adggnni,kxhsrpv,heqwrmw,Using doubling and halving to find multiplication facts.
adghvfr,deqntct,hdmckzm,Calculating areas.
adgrfmi,exgbkmp,jczttsr,Writing simple fractions as decimals.
adgutay,ihrvmre,ikpmfhw,Seeing fractions as numbers. 
adgxcbz,ihuuegl,dzbfsdd,Finding square numbers.
adheusj,kwohuco,mcnzvid,Developing Fluency with Addition and Subtraction
adhfljx,ebaesbk,cbyyaui,Adding and subtracting using rounding and adjusting.
adhfzdb,euiicfm,eukmzxl,Adding and subtracting tens to a 2-digit number. 
adhjujm,kdjcmac,jfvgeod,Multiplying up to 3-digits using short multiplication.
adhktfn,eirbjrz,kccejva,Multiplying using short multiplication.
adhpwjb,nnpfcbq,jczttsr,Writing simple fractions as decimals.
adhqdua,lqrdlid,iaxxfeb,Using mental strategies to multiply.
adhswrw,dntuhdg,gbamvgm,Adding money using the column method.
adhvixz,jheojpu,lcidfkx,Rounding numbers to the nearest 10.
adhwzkm,hmggrtg,iaxxfeb,Using mental strategies to multiply.
aditscs,lfkrmqk,nvoahmy,Solving multi-step addition and subtraction problems.
adjtuaw,jkfvwwq,jczttsr,Writing simple fractions as decimals.
adjwieo,ivyjxuw,icdggsk,"Comparing numbers up to 1,000."
adkilio,lxmhvym,jczttsr,Writing simple fractions as decimals.
adkjawp,kzejwkd,kccejva,Multiplying using short multiplication.
adkjnpc,alfhune,cayqlmh,Comparing and ordering fractions.
adkkegc,nqndcar,mlfcler,Adding and subtracting decimals using known facts.
adkpeal,avwmwrg,cjlaygb,Estimating the position of tenths and hundredths on a number line.
adllbxl,cmlpeop,folqlut,Comparing numbers with up to 2 decimal places using money.
adlpjwx,czjzyzm,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
adlvlfk,lrjrvzj,apsqsjm,Writing hundredths as decimals.
admkukl,bemknjy,lnbrdyi,Measuring the perimeter of 2D shapes. 
admnayy,ifiodct,couwqal,"Ordering numbers up to 10,000."
adnpmej,eqsswok,meqpwaq,Solving real-life problems with remainders.
adnsjvi,bllukdb,jfvgeod,Multiplying up to 3-digits using short multiplication.
adntybt,fcuwwfi,mcnzvid,Developing Fluency with Addition and Subtraction
adnytmg,njpnbxr,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
adodkje,hpysmis,jczttsr,Writing simple fractions as decimals.
adofkzd,aaumjxy,jtdvfzo,Dividing using short division with exchange.
adopfmm,jtextzm,ahgjnev,Finding percentages of an amount.
adorrjg,jyvhhdt,bvaxfzg,Adding and subtracting fractions with different denominators.
adpinff,fzwqzzr,iaxxfeb,Using mental strategies to multiply.
adpjjiq,gjyrgbg,esfbggf,Expanding and Factorising Single Brackets
adppbmi,itgdigw,npjzxlw,Finding common multiples.
adptggd,hshicvp,mzfyjyr,Simplifying fractions.
adpyhbz,ehbkpfk,lortfat,Rounding numbers to the nearest tenth.
adqobfd,lvklopt,ltlytzc,Multiplying a decimal by a decimal.
adqypyr,mcidjle,mcnzvid,Developing Fluency with Addition and Subtraction
adrboit,awlnfcf,gifmcdx,Using Function Notation
adrgmck,jvmltdl,bqyeapa,Using Pythagoras' Theorem
adrvcpw,dyqhpei,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
adsfnth,iduoiot,ixlglnr,"Rounding numbers to the nearest 100 and 1,000."
adsjxqi,ahzkrrl,khgykop,"Ordering numbers up to 1,000,000."
adsnlbs,maytbni,ittdkew,Finding equivalent fractions.
adsqfkd,ceimypl,mcnzvid,Developing Fluency with Addition and Subtraction
adsznwb,fkwleup,bfhkqzq,Finding fractions of a set of objects.
adtpdwh,fjyapeo,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
adtrbak,fybbpsj,mqoudkb,Finding factors.
aduazce,jbqacfs,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
aduikww,jwbksle,folqlut,Comparing numbers with up to 2 decimal places using money.
adukzgb,cwbbeii,folqlut,Comparing numbers with up to 2 decimal places using money.
advcmgu,njrygny,mflvjfv,Using known facts to find factors.
advdmrk,ehpysiv,khgykop,"Ordering numbers up to 1,000,000."
advjvgp,akhipmf,dwfrhvb,Adding or subtracting tenths or hundredths.
advmhkz,lldphzk,ipbeakp,Finding multiples.
advqlwp,aycvsyj,ahgjnev,Finding percentages of an amount.
advqvvu,doiitew,mzfyjyr,Simplifying fractions.
advubap,hwyxqpr,cbyyaui,Adding and subtracting using rounding and adjusting.
advyaio,kwfqotb,jloipph,Dividing using partitioning.
adwgubq,auawzal,lortfat,Rounding numbers to the nearest tenth.
adwwvqu,fgfphfr,kccejva,Multiplying using short multiplication.
adxrvhu,jvvxkyg,ighwkhu,Multiplying and dividing by 10 and 100.
adxsnwu,ljylfbe,ipbeakp,Finding multiples.
adxsopd,jqbswgv,jfvgeod,Multiplying up to 3-digits using short multiplication.
adxydej,khsphbg,fhbcvwv,Working with Ratio
adyflya,heagfyw,bllttmr,Writing percentages as fractions and decimals.
adyhffb,ajeglor,fvlruzc,"Showing and partitioning numbers up to 10,000. "
adynpya,ltpwavt,dwfrhvb,Adding or subtracting tenths or hundredths.
adyrlak,agxnstz,kismrri,Solving simple problems involving fractions. 
adysvos,gedsoxe,jloipph,Dividing using partitioning.
adytpdi,hpldfjy,hwjxuqg,Subtracting money using the column method.
adzamze,fabedvl,apsqsjm,Writing hundredths as decimals.
adzcieu,mcodkhv,ittdkew,Finding equivalent fractions.
adzdgbz,hizytxc,icdggsk,"Comparing numbers up to 1,000."
adznpzr,gmqxwsy,cayqlmh,Comparing and ordering fractions.
adzpbpq,juobgdd,lcidfkx,Rounding numbers to the nearest 10.
adzqtxx,htxvegw,hjfghwb,"Knowing the value of each digit in numbers up to 1,000,000."
adzvanz,mlyrbpw,cpgyqua,Writing tenths as decimals.
adzvsgp,nfsqhbz,nulmadz,"Rounding numbers to the nearest 10,000 and 100,000."
aeaucrf,lgtqtno,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aeawoaj,bfuaaff,gsowtvc,Solving real-life problems with bar models.
aeayuuy,bnlhmdl,dwfrhvb,Adding or subtracting tenths or hundredths.
aeayyeq,fylysua,ajoysag,Multiplying 3 numbers.
aebesdl,nurmfcw,lxebvhx,Working with square numbers.
aebgpln,etrbdvh,acvbcev,Comparing fractions using reasoning.
aebjfri,hvhcopv,dwfrhvb,Adding or subtracting tenths or hundredths.
aebkjgd,htgymiv,mntjdry,Finding equivalent fractions using a number line.
aebrxlz,ingubiq,mcnzvid,Developing Fluency with Addition and Subtraction
aebujjm,nknswch,fkmofmm,Rounding numbers to 2 decimal places.
aebwsfl,lripokn,jfvgeod,Multiplying up to 3-digits using short multiplication.
aecbytq,ewvbnfo,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aecdlzq,gswbsxq,ixlglnr,"Rounding numbers to the nearest 100 and 1,000."
aecenln,fjrrhte,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
aecgalj,dqvqiya,meqpwaq,Solving real-life problems with remainders.
aecsxhz,ggfacyb,heqwrmw,Using doubling and halving to find multiplication facts.
aedaach,akoilrx,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
aeddodp,iekjvlx,cbyyaui,Adding and subtracting using rounding and adjusting.
aedebps,cgqefht,jtdvfzo,Dividing using short division with exchange.
aedpirf,ghghkji,nbnqdnl,Multiplying and dividing decimals using known facts.
aedrmko,jjipuyl,jloipph,Dividing using partitioning.
aeduasl,ijgexns,ahgjnev,Finding percentages of an amount.
aeeqsvy,kxxftni,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aeevdkw,kfjptyp,ahgjnev,Finding percentages of an amount.
aefdocu,gfqpdyj,iaxxfeb,Using mental strategies to multiply.
aefkfhz,kgjzgyr,khgykop,"Ordering numbers up to 1,000,000."
aeftcbe,bstgwsi,folqlut,Comparing numbers with up to 2 decimal places using money.
aeftqsh,knzcwjt,fkmofmm,Rounding numbers to 2 decimal places.
aefvqtj,dgjvjpr,nvhtbfr,Multiplying 2-digit numbers using long multiplication. 
aegeofr,gaelbgi,dwfrhvb,Adding or subtracting tenths or hundredths.
aegliak,kdxrxbi,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
